, where, what, value
0, Driver, kernel_time, 0.000024374000
1, Driver, total_time, 0.000117999000
2, GPU[1].CommandProcessor, kernel_time, 0.000023785000
3, GPU[1].SA[0].CU[0], cu_inst_count, 3511.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 6.942181714611
5, GPU[1].SA[0].CU[0], simd_inst_count, 3173.000000000000
6, GPU[1].SA[0].CU[0], simd_CPI, 7.681689253073
7, GPU[1].SA[0].CU[1], cu_inst_count, 3511.000000000000
8, GPU[1].SA[0].CU[1], cu_CPI, 6.942181714611
9, GPU[1].SA[0].CU[1], simd_inst_count, 3172.000000000000
10, GPU[1].SA[0].CU[1], simd_CPI, 7.684110970996
11, GPU[1].SA[0].CU[2], cu_inst_count, 3511.000000000000
12, GPU[1].SA[0].CU[2], cu_CPI, 6.942181714611
13, GPU[1].SA[0].CU[2], simd_inst_count, 3173.000000000000
14, GPU[1].SA[0].CU[2], simd_CPI, 7.681689253073
15, GPU[1].SA[0].CU[3], cu_inst_count, 3511.000000000000
16, GPU[1].SA[0].CU[3], cu_CPI, 6.942181714611
17, GPU[1].SA[0].CU[3], simd_inst_count, 3172.000000000000
18, GPU[1].SA[0].CU[3], simd_CPI, 7.684110970996
19, GPU[1].SA[1].CU[0], cu_inst_count, 3511.000000000000
20, GPU[1].SA[1].CU[0], cu_CPI, 6.942181714611
21, GPU[1].SA[1].CU[0], simd_inst_count, 3172.000000000000
22, GPU[1].SA[1].CU[0], simd_CPI, 7.684110970996
23, GPU[1].SA[1].CU[1], cu_inst_count, 3511.000000000000
24, GPU[1].SA[1].CU[1], cu_CPI, 6.942181714611
25, GPU[1].SA[1].CU[1], simd_inst_count, 3172.000000000000
26, GPU[1].SA[1].CU[1], simd_CPI, 7.684110970996
27, GPU[1].SA[1].CU[2], cu_inst_count, 3511.000000000000
28, GPU[1].SA[1].CU[2], cu_CPI, 6.942181714611
29, GPU[1].SA[1].CU[2], simd_inst_count, 3172.000000000000
30, GPU[1].SA[1].CU[2], simd_CPI, 7.684110970996
31, GPU[1].SA[1].CU[3], cu_inst_count, 3511.000000000000
32, GPU[1].SA[1].CU[3], cu_CPI, 6.942181714611
33, GPU[1].SA[1].CU[3], simd_inst_count, 3173.000000000000
34, GPU[1].SA[1].CU[3], simd_CPI, 7.681689253073
35, GPU[1].SA[2].CU[0], cu_inst_count, 3511.000000000000
36, GPU[1].SA[2].CU[0], cu_CPI, 6.942181714611
37, GPU[1].SA[2].CU[0], simd_inst_count, 3172.000000000000
38, GPU[1].SA[2].CU[0], simd_CPI, 7.684110970996
39, GPU[1].SA[2].CU[1], cu_inst_count, 3511.000000000000
40, GPU[1].SA[2].CU[1], cu_CPI, 6.942181714611
41, GPU[1].SA[2].CU[1], simd_inst_count, 3173.000000000000
42, GPU[1].SA[2].CU[1], simd_CPI, 7.681689253073
43, GPU[1].SA[2].CU[2], cu_inst_count, 3511.000000000000
44, GPU[1].SA[2].CU[2], cu_CPI, 6.942181714611
45, GPU[1].SA[2].CU[2], simd_inst_count, 3172.000000000000
46, GPU[1].SA[2].CU[2], simd_CPI, 7.684110970996
47, GPU[1].SA[2].CU[3], cu_inst_count, 3511.000000000000
48, GPU[1].SA[2].CU[3], cu_CPI, 6.942181714611
49, GPU[1].SA[2].CU[3], simd_inst_count, 3172.000000000000
50, GPU[1].SA[2].CU[3], simd_CPI, 7.684110970996
51, GPU[1].SA[3].CU[0], cu_inst_count, 3511.000000000000
52, GPU[1].SA[3].CU[0], cu_CPI, 6.942181714611
53, GPU[1].SA[3].CU[0], simd_inst_count, 3172.000000000000
54, GPU[1].SA[3].CU[0], simd_CPI, 7.684110970996
55, GPU[1].SA[3].CU[1], cu_inst_count, 3511.000000000000
56, GPU[1].SA[3].CU[1], cu_CPI, 6.942181714611
57, GPU[1].SA[3].CU[1], simd_inst_count, 3173.000000000000
58, GPU[1].SA[3].CU[1], simd_CPI, 7.681689253073
59, GPU[1].SA[3].CU[2], cu_inst_count, 3511.000000000000
60, GPU[1].SA[3].CU[2], cu_CPI, 6.942181714611
61, GPU[1].SA[3].CU[2], simd_inst_count, 3172.000000000000
62, GPU[1].SA[3].CU[2], simd_CPI, 7.684110970996
63, GPU[1].SA[3].CU[3], cu_inst_count, 3511.000000000000
64, GPU[1].SA[3].CU[3], cu_CPI, 6.942181714611
65, GPU[1].SA[3].CU[3], simd_inst_count, 3172.000000000000
66, GPU[1].SA[3].CU[3], simd_CPI, 7.684110970996
67, GPU[1].SA[4].CU[0], cu_inst_count, 3511.000000000000
68, GPU[1].SA[4].CU[0], cu_CPI, 6.942181714611
69, GPU[1].SA[4].CU[0], simd_inst_count, 3172.000000000000
70, GPU[1].SA[4].CU[0], simd_CPI, 7.684110970996
71, GPU[1].SA[4].CU[1], cu_inst_count, 3511.000000000000
72, GPU[1].SA[4].CU[1], cu_CPI, 6.942181714611
73, GPU[1].SA[4].CU[1], simd_inst_count, 3172.000000000000
74, GPU[1].SA[4].CU[1], simd_CPI, 7.684110970996
75, GPU[1].SA[4].CU[2], cu_inst_count, 3511.000000000000
76, GPU[1].SA[4].CU[2], cu_CPI, 6.942181714611
77, GPU[1].SA[4].CU[2], simd_inst_count, 3172.000000000000
78, GPU[1].SA[4].CU[2], simd_CPI, 7.684110970996
79, GPU[1].SA[4].CU[3], cu_inst_count, 3511.000000000000
80, GPU[1].SA[4].CU[3], cu_CPI, 6.942181714611
81, GPU[1].SA[4].CU[3], simd_inst_count, 3172.000000000000
82, GPU[1].SA[4].CU[3], simd_CPI, 7.684110970996
83, GPU[1].SA[5].CU[0], cu_inst_count, 3511.000000000000
84, GPU[1].SA[5].CU[0], cu_CPI, 6.942181714611
85, GPU[1].SA[5].CU[0], simd_inst_count, 3172.000000000000
86, GPU[1].SA[5].CU[0], simd_CPI, 7.684110970996
87, GPU[1].SA[5].CU[1], cu_inst_count, 3511.000000000000
88, GPU[1].SA[5].CU[1], cu_CPI, 6.942181714611
89, GPU[1].SA[5].CU[1], simd_inst_count, 3172.000000000000
90, GPU[1].SA[5].CU[1], simd_CPI, 7.684110970996
91, GPU[1].SA[5].CU[2], cu_inst_count, 3511.000000000000
92, GPU[1].SA[5].CU[2], cu_CPI, 6.942181714611
93, GPU[1].SA[5].CU[2], simd_inst_count, 3172.000000000000
94, GPU[1].SA[5].CU[2], simd_CPI, 7.684110970996
95, GPU[1].SA[5].CU[3], cu_inst_count, 3511.000000000000
96, GPU[1].SA[5].CU[3], cu_CPI, 6.942181714611
97, GPU[1].SA[5].CU[3], simd_inst_count, 3172.000000000000
98, GPU[1].SA[5].CU[3], simd_CPI, 7.684110970996
99, GPU[1].SA[6].CU[0], cu_inst_count, 3511.000000000000
100, GPU[1].SA[6].CU[0], cu_CPI, 6.942181714611
101, GPU[1].SA[6].CU[0], simd_inst_count, 3172.000000000000
102, GPU[1].SA[6].CU[0], simd_CPI, 7.684110970996
103, GPU[1].SA[6].CU[1], cu_inst_count, 3511.000000000000
104, GPU[1].SA[6].CU[1], cu_CPI, 6.942181714611
105, GPU[1].SA[6].CU[1], simd_inst_count, 3172.000000000000
106, GPU[1].SA[6].CU[1], simd_CPI, 7.684110970996
107, GPU[1].SA[6].CU[2], cu_inst_count, 3511.000000000000
108, GPU[1].SA[6].CU[2], cu_CPI, 6.942181714611
109, GPU[1].SA[6].CU[2], simd_inst_count, 3172.000000000000
110, GPU[1].SA[6].CU[2], simd_CPI, 7.684110970996
111, GPU[1].SA[6].CU[3], cu_inst_count, 3511.000000000000
112, GPU[1].SA[6].CU[3], cu_CPI, 6.942181714611
113, GPU[1].SA[6].CU[3], simd_inst_count, 3172.000000000000
114, GPU[1].SA[6].CU[3], simd_CPI, 7.684110970996
115, GPU[1].SA[7].CU[0], cu_inst_count, 3511.000000000000
116, GPU[1].SA[7].CU[0], cu_CPI, 6.942181714611
117, GPU[1].SA[7].CU[0], simd_inst_count, 3172.000000000000
118, GPU[1].SA[7].CU[0], simd_CPI, 7.684110970996
119, GPU[1].SA[7].CU[1], cu_inst_count, 3511.000000000000
120, GPU[1].SA[7].CU[1], cu_CPI, 6.942181714611
121, GPU[1].SA[7].CU[1], simd_inst_count, 3172.000000000000
122, GPU[1].SA[7].CU[1], simd_CPI, 7.684110970996
123, GPU[1].SA[7].CU[2], cu_inst_count, 3511.000000000000
124, GPU[1].SA[7].CU[2], cu_CPI, 6.942181714611
125, GPU[1].SA[7].CU[2], simd_inst_count, 3172.000000000000
126, GPU[1].SA[7].CU[2], simd_CPI, 7.684110970996
127, GPU[1].SA[7].CU[3], cu_inst_count, 3511.000000000000
128, GPU[1].SA[7].CU[3], cu_CPI, 6.942181714611
129, GPU[1].SA[7].CU[3], simd_inst_count, 3172.000000000000
130, GPU[1].SA[7].CU[3], simd_CPI, 7.684110970996
131, GPU[1].SA[8].CU[0], cu_inst_count, 3511.000000000000
132, GPU[1].SA[8].CU[0], cu_CPI, 6.942181714611
133, GPU[1].SA[8].CU[0], simd_inst_count, 3173.000000000000
134, GPU[1].SA[8].CU[0], simd_CPI, 7.681689253073
135, GPU[1].SA[8].CU[1], cu_inst_count, 3511.000000000000
136, GPU[1].SA[8].CU[1], cu_CPI, 6.942181714611
137, GPU[1].SA[8].CU[1], simd_inst_count, 3172.000000000000
138, GPU[1].SA[8].CU[1], simd_CPI, 7.684110970996
139, GPU[1].SA[8].CU[2], cu_inst_count, 3511.000000000000
140, GPU[1].SA[8].CU[2], cu_CPI, 6.942181714611
141, GPU[1].SA[8].CU[2], simd_inst_count, 3172.000000000000
142, GPU[1].SA[8].CU[2], simd_CPI, 7.684110970996
143, GPU[1].SA[8].CU[3], cu_inst_count, 3511.000000000000
144, GPU[1].SA[8].CU[3], cu_CPI, 6.942181714611
145, GPU[1].SA[8].CU[3], simd_inst_count, 3172.000000000000
146, GPU[1].SA[8].CU[3], simd_CPI, 7.684110970996
147, GPU[1].SA[9].CU[0], cu_inst_count, 3511.000000000000
148, GPU[1].SA[9].CU[0], cu_CPI, 6.942181714611
149, GPU[1].SA[9].CU[0], simd_inst_count, 3173.000000000000
150, GPU[1].SA[9].CU[0], simd_CPI, 7.681689253073
151, GPU[1].SA[9].CU[1], cu_inst_count, 3511.000000000000
152, GPU[1].SA[9].CU[1], cu_CPI, 6.942181714611
153, GPU[1].SA[9].CU[1], simd_inst_count, 3173.000000000000
154, GPU[1].SA[9].CU[1], simd_CPI, 7.681689253073
155, GPU[1].SA[9].CU[2], cu_inst_count, 3511.000000000000
156, GPU[1].SA[9].CU[2], cu_CPI, 6.942181714611
157, GPU[1].SA[9].CU[2], simd_inst_count, 3172.000000000000
158, GPU[1].SA[9].CU[2], simd_CPI, 7.684110970996
159, GPU[1].SA[9].CU[3], cu_inst_count, 3511.000000000000
160, GPU[1].SA[9].CU[3], cu_CPI, 6.942181714611
