, where, what, value
0, Driver, kernel_time, 0.029553518000
1, Driver, total_time, 0.040383479000
2, GPU[1].CommandProcessor, kernel_time, 0.029550573000
3, GPU[1].SA[0].CU[0], cu_inst_count, 3621205.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 8.161238593231
5, GPU[1].SA[0].CU[0], simd_inst_count, 2593020.000000000000
6, GPU[1].SA[0].CU[0], simd_CPI, 11.397335153605
7, GPU[1].SA[0].CU[1], cu_inst_count, 3618802.000000000000
8, GPU[1].SA[0].CU[1], cu_CPI, 8.166657916073
9, GPU[1].SA[0].CU[1], simd_inst_count, 2591365.000000000000
10, GPU[1].SA[0].CU[1], simd_CPI, 11.404614170524
11, GPU[1].SA[0].CU[2], cu_inst_count, 3621705.000000000000
12, GPU[1].SA[0].CU[2], cu_CPI, 8.160111881006
13, GPU[1].SA[0].CU[2], simd_inst_count, 2595551.000000000000
14, GPU[1].SA[0].CU[2], simd_CPI, 11.386221268625
15, GPU[1].SA[0].CU[3], cu_inst_count, 3618407.000000000000
16, GPU[1].SA[0].CU[3], cu_CPI, 8.167549421610
17, GPU[1].SA[0].CU[3], simd_inst_count, 2591302.000000000000
18, GPU[1].SA[0].CU[3], simd_CPI, 11.404891440673
19, GPU[1].SA[1].CU[0], cu_inst_count, 3605562.000000000000
20, GPU[1].SA[1].CU[0], cu_CPI, 8.196646736348
21, GPU[1].SA[1].CU[0], simd_inst_count, 2583841.000000000000
22, GPU[1].SA[1].CU[0], simd_CPI, 11.437823767020
23, GPU[1].SA[1].CU[1], cu_inst_count, 3615162.000000000000
24, GPU[1].SA[1].CU[1], cu_CPI, 8.174880683079
25, GPU[1].SA[1].CU[1], simd_inst_count, 2589985.000000000000
26, GPU[1].SA[1].CU[1], simd_CPI, 11.410690795507
27, GPU[1].SA[1].CU[2], cu_inst_count, 3596942.000000000000
28, GPU[1].SA[1].CU[2], cu_CPI, 8.216289837312
29, GPU[1].SA[1].CU[2], simd_inst_count, 2578106.000000000000
30, GPU[1].SA[1].CU[2], simd_CPI, 11.463267220200
31, GPU[1].SA[1].CU[3], cu_inst_count, 3597906.000000000000
32, GPU[1].SA[1].CU[3], cu_CPI, 8.214088416985
33, GPU[1].SA[1].CU[3], simd_inst_count, 2577649.000000000000
34, GPU[1].SA[1].CU[3], simd_CPI, 11.465299581130
35, GPU[1].SA[2].CU[0], cu_inst_count, 3595776.000000000000
36, GPU[1].SA[2].CU[0], cu_CPI, 8.218954128400
37, GPU[1].SA[2].CU[0], simd_inst_count, 2577163.000000000000
38, GPU[1].SA[2].CU[0], simd_CPI, 11.467461701103
39, GPU[1].SA[2].CU[1], cu_inst_count, 3579789.000000000000
40, GPU[1].SA[2].CU[1], cu_CPI, 8.255659202260
41, GPU[1].SA[2].CU[1], simd_inst_count, 2564174.000000000000
42, GPU[1].SA[2].CU[1], simd_CPI, 11.525550918151
43, GPU[1].SA[2].CU[2], cu_inst_count, 3569812.000000000000
44, GPU[1].SA[2].CU[2], cu_CPI, 8.278732325400
45, GPU[1].SA[2].CU[2], simd_inst_count, 2557580.000000000000
46, GPU[1].SA[2].CU[2], simd_CPI, 11.555266306430
47, GPU[1].SA[2].CU[3], cu_inst_count, 3563986.000000000000
48, GPU[1].SA[2].CU[3], cu_CPI, 8.292265457833
49, GPU[1].SA[2].CU[3], simd_inst_count, 2553488.000000000000
50, GPU[1].SA[2].CU[3], simd_CPI, 11.573783781244
51, GPU[1].SA[3].CU[0], cu_inst_count, 3547188.000000000000
52, GPU[1].SA[3].CU[0], cu_CPI, 8.331534161708
53, GPU[1].SA[3].CU[0], simd_inst_count, 2544227.000000000000
54, GPU[1].SA[3].CU[0], simd_CPI, 11.615912416620
55, GPU[1].SA[3].CU[1], cu_inst_count, 3530846.000000000000
56, GPU[1].SA[3].CU[1], cu_CPI, 8.370095438883
57, GPU[1].SA[3].CU[1], simd_inst_count, 2531958.000000000000
58, GPU[1].SA[3].CU[1], simd_CPI, 11.672199143904
59, GPU[1].SA[3].CU[2], cu_inst_count, 3511418.000000000000
60, GPU[1].SA[3].CU[2], cu_CPI, 8.416405566070
61, GPU[1].SA[3].CU[2], simd_inst_count, 2516699.000000000000
62, GPU[1].SA[3].CU[2], simd_CPI, 11.742968865168
63, GPU[1].SA[3].CU[3], cu_inst_count, 3485755.000000000000
64, GPU[1].SA[3].CU[3], cu_CPI, 8.478369248556
65, GPU[1].SA[3].CU[3], simd_inst_count, 2500052.000000000000
66, GPU[1].SA[3].CU[3], simd_CPI, 11.821161319845
67, GPU[1].SA[4].CU[0], cu_inst_count, 3457243.000000000000
68, GPU[1].SA[4].CU[0], cu_CPI, 8.548290646622
69, GPU[1].SA[4].CU[0], simd_inst_count, 2479397.000000000000
70, GPU[1].SA[4].CU[0], simd_CPI, 11.919639331660
71, GPU[1].SA[4].CU[1], cu_inst_count, 3424883.000000000000
72, GPU[1].SA[4].CU[1], cu_CPI, 8.629059153262
73, GPU[1].SA[4].CU[1], simd_inst_count, 2456411.000000000000
74, GPU[1].SA[4].CU[1], simd_CPI, 12.031178007263
75, GPU[1].SA[4].CU[2], cu_inst_count, 3383588.000000000000
76, GPU[1].SA[4].CU[2], cu_CPI, 8.734372506345
77, GPU[1].SA[4].CU[2], simd_inst_count, 2425702.000000000000
78, GPU[1].SA[4].CU[2], simd_CPI, 12.183490799777
79, GPU[1].SA[4].CU[3], cu_inst_count, 3347314.000000000000
80, GPU[1].SA[4].CU[3], cu_CPI, 8.829024704584
81, GPU[1].SA[4].CU[3], simd_inst_count, 2401677.000000000000
