, where, what, value
0, Driver, kernel_time, 0.010021363000
1, Driver, total_time, 0.016065046000
2, GPU[1].CommandProcessor, kernel_time, 0.010020774000
3, GPU[1].SA[0].CU[0], cu_inst_count, 3920000.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 2.556470153061
5, GPU[1].SA[0].CU[0], simd_inst_count, 2815023.000000000000
6, GPU[1].SA[0].CU[0], simd_CPI, 3.559957769439
7, GPU[1].SA[0].CU[1], cu_inst_count, 3920000.000000000000
8, GPU[1].SA[0].CU[1], cu_CPI, 2.556470153061
9, GPU[1].SA[0].CU[1], simd_inst_count, 2816715.000000000000
10, GPU[1].SA[0].CU[1], simd_CPI, 3.557819303692
11, GPU[1].SA[0].CU[2], cu_inst_count, 3921568.000000000000
12, GPU[1].SA[0].CU[2], cu_CPI, 2.555447973872
13, GPU[1].SA[0].CU[2], simd_inst_count, 2816846.000000000000
14, GPU[1].SA[0].CU[2], simd_CPI, 3.557653844051
15, GPU[1].SA[0].CU[3], cu_inst_count, 3921568.000000000000
16, GPU[1].SA[0].CU[3], cu_CPI, 2.555447973872
17, GPU[1].SA[0].CU[3], simd_inst_count, 2816631.000000000000
18, GPU[1].SA[0].CU[3], simd_CPI, 3.557925408050
19, GPU[1].SA[1].CU[0], cu_inst_count, 3921568.000000000000
20, GPU[1].SA[1].CU[0], cu_CPI, 2.555447973872
21, GPU[1].SA[1].CU[0], simd_inst_count, 2814647.000000000000
22, GPU[1].SA[1].CU[0], simd_CPI, 3.560433333203
23, GPU[1].SA[1].CU[1], cu_inst_count, 3920000.000000000000
24, GPU[1].SA[1].CU[1], cu_CPI, 2.556470153061
25, GPU[1].SA[1].CU[1], simd_inst_count, 2814622.000000000000
26, GPU[1].SA[1].CU[1], simd_CPI, 3.560464957639
27, GPU[1].SA[1].CU[2], cu_inst_count, 3920000.000000000000
28, GPU[1].SA[1].CU[2], cu_CPI, 2.556470153061
29, GPU[1].SA[1].CU[2], simd_inst_count, 2813926.000000000000
30, GPU[1].SA[1].CU[2], simd_CPI, 3.561345607525
31, GPU[1].SA[1].CU[3], cu_inst_count, 3920000.000000000000
32, GPU[1].SA[1].CU[3], cu_CPI, 2.556470153061
33, GPU[1].SA[1].CU[3], simd_inst_count, 2814644.000000000000
34, GPU[1].SA[1].CU[3], simd_CPI, 3.560437128106
35, GPU[1].SA[2].CU[0], cu_inst_count, 3921568.000000000000
36, GPU[1].SA[2].CU[0], cu_CPI, 2.555447973872
37, GPU[1].SA[2].CU[0], simd_inst_count, 2815414.000000000000
38, GPU[1].SA[2].CU[0], simd_CPI, 3.559463368442
39, GPU[1].SA[2].CU[1], cu_inst_count, 3921568.000000000000
40, GPU[1].SA[2].CU[1], cu_CPI, 2.555447973872
41, GPU[1].SA[2].CU[1], simd_inst_count, 2817708.000000000000
